n,asig,com
100, 4, 100, 
200, 8, 300, 
300, 12, 600, 
400, 16, 1000, 
500, 20, 1500, 
600, 24, 2100, 
700, 28, 2800, 
800, 32, 3600, 
900, 36, 4500, 
1000, 40, 5500, 
1100, 44, 6600, 
1200, 48, 7800, 
1300, 52, 9100, 
1400, 56, 10500, 
1500, 60, 12000, 
1600, 64, 13600, 
1700, 68, 15300, 
1800, 72, 17100, 
1900, 76, 19000, 
2000, 80, 21000, 
2100, 84, 23100, 
2200, 88, 25300, 
2300, 92, 27600, 
2400, 96, 30000, 
2500, 100, 32500, 
2600, 104, 35100, 
2700, 108, 37800, 
2800, 112, 40600, 
2900, 116, 43500, 
3000, 120, 46500, 
3100, 124, 49600, 
3200, 128, 52800, 
3300, 132, 56100, 
3400, 136, 59500, 
3500, 140, 63000, 
3600, 144, 66600, 
3700, 148, 70300, 
3800, 152, 74100, 
3900, 156, 78000, 
4000, 160, 82000, 
4100, 164, 86100, 
4200, 168, 90300, 
4300, 172, 94600, 
4400, 176, 99000, 
4500, 180, 103500, 
4600, 184, 108100, 
4700, 188, 112800, 
4800, 192, 117600, 
4900, 196, 122500, 
5000, 200, 127500, 
5100, 204, 132600, 
5200, 208, 137800, 
5300, 212, 143100, 
5400, 216, 148500, 
5500, 220, 154000, 
5600, 224, 159600, 
5700, 228, 165300, 
5800, 232, 171100, 
5900, 236, 177000, 
6000, 240, 183000, 
6100, 244, 189100, 
6200, 248, 195300, 
6300, 252, 201600, 
6400, 256, 208000, 
6500, 260, 214500, 
6600, 264, 221100, 
6700, 268, 227800, 
6800, 272, 234600, 
6900, 276, 241500, 
7000, 280, 248500, 
7100, 284, 255600, 
7200, 288, 262800, 
7300, 292, 270100, 
7400, 296, 277500, 
7500, 300, 285000, 
7600, 304, 292600, 
7700, 308, 300300, 
7800, 312, 308100, 
7900, 316, 316000, 
8000, 320, 324000, 
8100, 324, 332100, 
8200, 328, 340300, 
8300, 332, 348600, 
8400, 336, 357000, 
8500, 340, 365500, 
8600, 344, 374100, 
8700, 348, 382800, 
8800, 352, 391600, 
8900, 356, 400500, 
9000, 360, 409500, 
9100, 364, 418600, 
9200, 368, 427800, 
9300, 372, 437100, 
9400, 376, 446500, 
9500, 380, 456000, 
9600, 384, 465600, 
9700, 388, 475300, 
9800, 392, 485100, 
9900, 396, 495000, 
10000, 400, 505000, 
